x,y,token
0.017845431,-0.028156564,emma
-0.13342483,-0.08164168,by
0.2281784,0.12629537,jane
-0.17162424,-0.2662218,volume
0.36451846,0.31140485,i
-0.031523544,-0.07036887,chapter
0.020474607,-0.04354323,woodhouse
0.13568227,0.20085914,handsome
0.20304798,0.2518133,clever
-0.12272999,-0.13988659,and
0.17501062,0.21516,rich
-0.09421982,-0.08990761,with
0.033545114,0.039538283,a
0.026482012,0.086393006,comfortable
-0.052640878,-0.17452121,home
0.18398139,0.20628358,happy
-0.0017615552,0.1843356,disposition
-0.11384312,-0.043119792,seemed
0.09650894,0.1283696,to
-0.06867954,-0.06900319,some
-0.1209723,-0.03158894,of
-0.20173495,-0.3211846,the
0.19773015,0.17909132,best
-0.09030671,0.024870807,blessings
-0.036667928,0.07428995,existence
-0.066242896,-0.031224027,had
-0.06825528,-0.09606034,lived
-0.14587313,-0.30705765,nearly
-0.10442508,-0.21192698,twenty
0.11068591,0.1116049,one
-0.10882253,-0.21905933,years
-0.12328745,-0.08018652,in
0.13625893,0.22100076,world
0.22976133,0.24164486,very
0.036927063,-0.07442022,little
-0.078425415,0.03564222,distress
0.07013906,0.13184413,or
-0.138811,-0.072954774,her
-0.014236349,-0.021273656,she
-0.10373005,-0.063915595,was
-0.05418261,-0.093866915,youngest
-0.1346314,-0.25422293,two
-0.003026321,0.0028207,daughters
-0.0105364015,0.08881168,most
-0.085358195,0.043090314,affectionate
-0.093680136,-0.062952876,indulgent
0.036683016,0.07767976,father
-1.3324432e-05,0.13014449,consequence
0.014377824,0.07537619,sister
-0.08780384,-0.083624,s
0.007819114,0.08900632,marriage
0.038137075,0.09583698,been
-0.07881807,-0.07777525,mistress
-0.11690812,-0.041106246,his
-0.15482119,-0.2956839,house
-0.14292791,-0.11065697,from
-0.07986235,-0.15303944,early
-0.15621777,-0.12301357,period
0.016574519,0.06951108,mother
-0.065748975,-0.0663206,died
0.19826809,0.221474,too
0.053940482,0.024549311,long
-0.0978503,-0.20941089,ago
0.10292627,0.14040476,for
0.21467294,0.2537501,have
0.08321112,0.18149474,more
0.066312425,0.17376378,than
-0.018228399,0.0705234,an
-0.13558179,0.006913179,remembrance
-0.076711066,-0.09853282,place
-0.2004703,-0.17246896,supplied
0.17802013,0.23746353,excellent
0.16328493,0.25200942,woman
0.06639289,0.119349055,as
-0.016143095,0.0018616556,governess
0.098873526,0.13464457,who
-0.108837284,-0.071454674,fallen
-0.008093018,0.02990642,short
-0.02131623,0.15886162,affection
-0.16130053,-0.17914575,sixteen
0.2627575,0.24252896,miss_taylor
0.109249964,0.032054354,mr
-0.034429424,0.06374007,family
0.060318146,0.1823393,less
0.08668143,0.15474275,friend
0.21227297,0.24777067,fond
-0.036908127,-0.06248927,both
0.21331348,0.22554697,but
0.14933452,0.18106017,particularly
-0.13726999,-0.11605741,between
0.20085597,0.203798,it
-0.09539208,0.021900138,intimacy
-0.07907911,-0.09560887,sisters
0.06647146,0.1444863,even
-0.042944226,-0.12468358,before
-0.17744379,-0.23601903,ceased
0.23426181,0.22005658,hold
0.13580205,0.14312653,office
-0.071646616,-0.016803658,mildness
0.008837322,0.19858637,temper
0.1863656,0.21487895,hardly
0.11167431,0.1854922,allowed
0.11346554,0.20836487,any
-0.12446135,-0.03172866,restraint
0.17669709,0.22098194,authority
-0.046544578,0.020319564,being
0.19260801,0.17126425,now
-0.15756424,-0.23301908,passed
-0.0818364,-0.24258463,away
-0.12002302,-0.23815705,they
-0.014941061,0.07538666,living
-0.13917564,-0.27848002,together
0.22291405,0.28365415,attached
0.24995671,0.28604832,doing
0.13628568,0.016738592,just
0.28396377,0.2869772,what
0.14424622,0.20235288,liked
0.09693345,0.21008092,highly
0.0122347325,0.16240439,judgment
-0.023800597,-0.07704936,directed
-0.20093039,-0.2749789,chiefly
-0.032438867,0.108864546,own
-0.078485265,0.09508367,real
-0.15839621,-0.11546544,evils
0.33629382,0.30204877,indeed
0.02728304,0.19661546,situation
-0.15940829,-0.24173081,were
0.07934178,0.17590222,power
-0.0122671,0.054219402,having
0.1750818,0.20642835,rather
0.1184431,0.162103,much
-0.010926496,-0.1340048,way
0.350535,0.31498504,think
0.2602553,0.25912452,well
-0.06171318,-0.010551774,herself
-0.08465598,-0.1391317,these
-0.16949508,-0.09988199,which
-0.17086026,-0.25401565,threatened
-0.10026932,-0.028914489,alloy
-0.067647,-0.07023589,many
-0.100257084,-0.06469351,enjoyments
0.057783626,0.17291585,danger
0.15904613,0.17979199,however
-0.06440505,-0.1579508,at
0.036093764,0.11523122,present
0.20423193,0.21434803,so
0.19222423,0.22740807,that
0.2640193,0.262533,did
