x,y,z,token
0.39113358,0.7627168,-0.8333663,[
0.20403092,-0.43896502,0.12752812,and
-0.017160643,-0.111367784,0.08959981,by
0.38970464,0.7631516,-0.8324755,]
0.3992544,0.751378,-0.83239377,CHAPTER
0.34469646,0.6898348,-0.7462519,1
0.11850549,-0.1271291,-0.012487997,The
-0.49949527,0.60551196,0.0034920762,family
0.12051534,-0.34190184,0.13127442,of
-0.4189212,0.61782897,-0.07235949,Dashwood
-0.26485062,0.35231286,-0.01945178,had
0.21603961,-0.4399118,0.11743532,long
-0.33060467,0.35323337,0.034316994,been
-0.34067488,0.41096774,0.003265301,settled
0.09522875,-0.30025885,0.12398899,in
-0.33428758,0.42588627,-0.011543439,Sussex
0.096815236,0.042337615,-0.10906232,.
0.17787185,-0.25025403,0.02342841,Their
-0.39401594,0.501838,-0.013457677,estate
-0.109769344,0.063101314,0.046969235,was
0.15282558,-0.37190494,0.123989195,large
0.17082073,-0.34075153,0.0892512,","
0.019742783,-0.20472156,0.1219181,their
-0.23572052,0.20808418,0.054254472,residence
-0.025739182,-0.036495313,0.045104127,at
-0.445307,0.57231724,-0.01929135,Norland
-0.1973693,0.17621545,0.043484744,Park
0.2732551,-0.5818188,0.16650018,the
0.41538006,-0.82228416,0.21063818,centre
-0.36456898,0.39386934,0.03542638,property
0.020847503,-0.07554008,0.033495054,where
-0.18946187,0.2656281,-0.023227729,for
-0.16379948,0.12024157,0.054750454,many
-0.080140635,-0.024105223,0.083052255,generations
0.07055532,-0.24785925,0.10864863,they
-0.26846752,0.3015903,0.018140538,lived
-0.19326288,0.29281932,-0.038338717,so
-0.4175186,0.5247833,-0.009582756,respectable
0.1589799,-0.3489974,0.10348785,a
-0.336152,0.39351785,0.010875615,manner
0.0046462473,-0.10060414,0.063625805,as
-0.07962205,0.13280262,-0.023870803,to
-0.43421215,0.63955873,-0.073416695,engage
-0.42515153,0.45694658,0.042750165,general
-0.30773574,0.5989334,-0.15034735,good
-0.506768,0.62465215,-0.0034550242,opinion
0.072726935,-0.2794912,0.12885484,surrounding
-0.49772832,0.5863362,0.014847549,acquaintance
-0.27009687,0.3481396,-0.012048216,late
0.004955426,-0.14066263,0.09045028,owner
-0.17132057,0.24982326,-0.02692444,this
-0.0144148795,-0.064404376,0.055384334,single
-0.11297446,0.27055472,-0.090249434,man
-0.2144384,0.3227771,-0.041270524,who
-0.33147642,0.5056653,-0.068131305,very
0.27393296,-0.5951712,0.17453334,advanced
-0.3768062,0.4808789,-0.013479151,age
-0.22092682,0.1248772,0.098246306,years
0.25260097,-0.51074386,0.13456257,his
-0.2748763,0.3359623,0.0006490981,life
-0.4592264,0.5284823,0.02226582,constant
-0.31952462,0.36351004,0.017332014,companion
-0.19512077,0.36056882,-0.08378943,housekeeper
-0.4424927,0.61911005,-0.053427767,sister
-0.12698576,0.41361633,-0.17393073,But
-0.30331817,0.41510206,-0.030936213,her
-0.060523573,0.3285665,-0.16985096,death
-0.105205655,-0.00828285,0.092520796,which
-0.38350037,0.5005224,-0.021728769,happened
-0.1579372,0.026193062,0.112713054,ten
-0.11593389,0.11487766,0.017800432,before
-0.38550672,0.48490638,-0.009129712,own
-0.4411337,0.4691188,0.047245767,produced
-0.040524695,-0.020591503,0.04724099,great
-0.3992444,0.4533029,0.023600347,alteration
-0.26638412,0.42497757,-0.067689724,home
0.16815583,-0.3418377,0.0920329,;
-0.27732664,0.25924405,0.054224763,supply
-0.40433243,0.50582993,-0.007546812,loss
-0.09163701,0.16607781,-0.037683368,he
-0.36447603,0.43291423,0.008171606,invited
-0.38848734,0.436634,0.025505597,received
0.27247065,-0.5349297,0.13431455,into
-0.20627418,0.2096439,0.027817687,house
-0.23951401,0.3689654,-0.051860373,nephew
-0.17133734,0.46914864,-0.17711253,Mr
-0.13056625,0.17351452,-0.00925895,Henry
-0.16772182,0.29538175,-0.059807137,legal
-0.45077807,0.5726156,-0.014615849,person
-0.09219062,0.24434759,-0.08724554,whom
-0.43218952,0.528787,-0.0001474433,intended
-0.15237588,0.29922295,-0.07659667,it
0.10380377,-0.15931995,0.022976996,In
-0.44565964,0.50729364,0.025597813,society
-0.2527573,0.27401772,0.023668313,children
0.052526508,0.0141467005,-0.053527627,old
-0.07717812,0.37895948,-0.1925803,'
-0.021159071,0.14174469,-0.079032086,s
-0.19853912,0.10641351,0.09221054,days
-0.06008318,-0.040467855,0.07663716,were
-0.11989477,0.110967696,0.024078878,comfortably
-0.37068507,0.4224989,0.020413287,spent
